offer-sku,quantity,warehouse-code,update-delete
NXL-6,206,,update
NXL-6/BK,804,,update
NXL-8/BK,481,,update
PRO-CF6.4NR,445,,update
PRO-CF6.4SL,2379,,update
PRO-CF69.4NR,188,,update
PRO-GM6.4,5472,,update
PRO-GM6.4B,16335,,update
PRO-GM6B,10578,,update
PRO-GM8.4B,2145,,update
PRO-GM8B,503,,update
PRO-HY6.4B,1316,,update
PRO-HY6.4MSL,5104,,update
PRO-HY69.4B,153,,update
PRO-SM6.2,238,,update
PRO-SM69.2,433,,update
PRO-TW120B,0,,update
PRO-TW220,2,,update
PRO-TWN4,1546,,update
PRO-X5.4BM,1254,,update
PRO-X6.4BM,19302,,update
PRO-X6.4BMSL,3577,,update
PRO-X694BM,3618,,update
PRO-X698BM,513,,update
PRO-X6BM,4072,,update
PRO-ZT6,7377,,update
PRO-ZT69,6739,,update
S69,138,,update
ZXI-354,673,,update
